category_code;food_category;avg_yoy_price_growth_pct
118101;Cukr krystalový;-1.92
117101;Rajská jablka èervená kulatá;-0.74
116103;Banány žluté;0.81
112201;Vepøová peèenì s kostí;0.99
122102;Pøírodní minerální voda uhlièitá;1.03
112704;Šunkový salám;1.85
116104;Jablka konzumní;2.01
111303;Peèivo pšenièné bílé;2.20
112101;Hovìzí maso zadní bez kosti;2.53
2000001;Kapr živý;2.60
212101;Jakostní víno bílé;2.70
213201;Pivo výèepní, svìtlé, lahvové;2.85
114501;Eidamská cihla;2.92
114201;Mléko polotuèné pasterované;2.98
115201;Rostlinný roztíratelný tuk;3.23
112401;Kuøata kuchaná celá;3.38
116101;Pomeranèe;3.60
114401;Jogurt bílý netuèný;3.96
111301;Chléb konzumní kmínový;3.97
117401;Konzumní brambory;4.18
111101;Rýže loupaná dlouhozrnná;5.00
111201;Pšenièná mouka hladká;5.24
117106;Mrkev;5.24
111602;Tìstoviny vajeèné;5.26
114701;Vejce slepièí èerstvá;5.55
115101;Máslo;6.67
117103;Papriky;7.29
